name,observer,sell_rank,price,features,rating,nb_evaluation
HK Audio Premium PR:O 12 B-Stock,            ,                216            ,    322,"Speaker components: 12"" Low/Mid speaker + 1"" HF driver,Dispersion pattern of the HF horn: 60° x 40°,Power-handling nominal: 400 W RMS,Impedance: 8 Ohm,Frequency response: 68 - 19,000 Hz,Sound pressure level: 104 dB, 128 dB max.,Stand flange mount,M8 Rigging points,2 Handles,Connectors: Speaker Twist In/Out,Black textured paint finish,Dimensions: 39 x 57 x 36 cm,Weight: 18 kg,Matching cover available under Article Nr , (not included)",4.8,6
the box pro Achat 404 MKII WH B-Stock,            ,                215            ,    261,"Puissance: 150 Watt RMS - 600 Watt crête,Impédance: 8 Ohm,Réponse en fréquence: 160 Hz - 20 kHz,SPL: 109 dB, Max: 115 dB (crête),Dispersion: 150° x 30°,Œillet pour pied d'enceinte 35 mm,Connectique: 2x Speaker Twist NL4 et borniers,Finition: blanche,Dimensions: 144 x 166 x 692 mm,Poids: 8 kg,Support de montage mural disponible en option, article n°: ,Housse de protection (noire) vendue séparément, article n°: ,Conçue en Allemagne",5,2
Dynacord TS 400,            ,                214            ,    1.799,"4x haut-parleur de 6,5"" néodyme DND 6130-16,Moteur 1"" DHT3,Dispersion: 90 ° x 40 °,Impédance: 4 Ohm,Puissance: 600 Watt RMS (2400 W crête),SPL max: 131 dB,Réponse en fréquence: 74 - 20000 Hz,2x connecteurs Speaker Twist NL4,10x points M6,Dimensions: 199 x 935 x 281 mm,Poids: 17 kg,Accessoires disponibles en option: support mural WMK-25 (,), adaptateur d'angle TA-TS400 (,), sac de transport CB-TS400 (,)",5,1
EV SX300 PI-X,            ,                213            ,    999,"2 voies: 12"" + 1"",Puissance: 300 Watt / 1200 Watt,impédance: 8 Ohm,Dispersion: 65° x 65°,Transformateur 100 Volt,Montage sur pied renforcé,Entrée et sortie Speaker Twist,En plastique noir,Poids: 17,7 kg,Dimensions (HxLxP): 59 x 43 x 31 cm,Garantie constructeur de 5 ans",,
KS audio CL 106,            ,                212            ,    1.029,"Suitable for speaking and music,Equipped with: 6"" loudspeaker,Frequency range: 85 - 20,000 Hz,Power rating: 120 W RMS @ 4 Ohm,SPL 116 db / 121 dB,Input and output: SpeakerTwist NL4,Coverage pattern: 100° x 100°,4 M6 adapters,Dimensions (H x W x D): 354 x 190 x 200 mm,Weight: 8 kg,Colour: Black",,
DAS Audio Altea-412,            ,                184            ,    369,"Tweeter à compression de 1"",Réponse en fréquence : 68 Hz - 20 kHz,Diagramme de dispersion (HxV) : 90° x 60°,SPL max. : 127 dB,Puissance nominale : 300 Watt RMS / 1200 Watt crête,Impédance : 8 Ohm,Connexions : Speaker Twist,Montage sur pied 35 mm possible,Dimensions (HxLxP) : 655 x 380 x 350 mm,Poids : 14,5 kg,Couleur : noir",,
KS audio C 04,            ,                211            ,    666,"Haut-parleur 4,5"" et tweeter,Réponse en fréquence: 100 Hz - 19 kHz,Puissance: 100 Watt RMS @ 8 Ohm,SPL: 118 dB,Entrée et sortie Speaker Twist NL4,Angle de dispersion: 120° x 120°,2x points de montage M6,Montage sur pied possible,Dimensions: 150 x 150 x 150 mm,Poids: 1,2 kg,Couleur: noir",,
FBT Ventis 110,            ,                210            ,    509,"Loudspeaker configuration: 10"" Woofer, 1"" tweeter,Continuous power: 150 W,Recommended amplifier power: 300 W,Nominal impedance: 8 Ohm,Frequency range: 60 - 18,000 Hz (-6 dB),Sensitivity: 97 dB (1 W / 1 m ),Maximum SPL: 127 dB,Beam angle (typical): 80° x 50° (H x V, rotatable),Crossover frequency: 1800 Hz,Recommended high pass filter: 50 Hz - 12-24 dB/oct,Speaker-twist Input and through,Dimensions (W x H x D): 329 x 575 x 325 mm,Weight: 15.1 kg,Colour: Black",,
DAS Audio Action-515,            ,                209            ,    589,"1x Haut-parleur de 12"" et 1x tweeter à compression de  1"",Réponse en fréquence : 47 Hz - 20 kHz,Dispersion (HxV) : 90° x 60°,SPL Max : 131 dB,Puissance nominale : 350 Watt RMS / 1400 Watt crête,Impédance : 8 Ohm,Connexions : Speaker Twist,Montage sur pied 35 mm (2 angles d'inclinaison disponibles),Dimensions (HxLxP) : 720 x 445 x 385 mm,Poids : 22,0 kg,Couleur : noir",,
the box pro Achat 404 MKII B-Stock,            ,                185            ,    255,"Équipement : 4x haut-parleurs de 4"" et 1x tweeter BMS Line Driver 1"",Enceinte colonne (montage en ligne),Impédance: 8 Ohm,SPL: 109 dB / 121 dB (crête),Réponse en fréquence: 160 Hz -20 kHz,Dispersion: 150° x 30°,Œillet pour pied d'enceinte 35 mm,Connectique: 2x NL4 et borniers,Finition: peinture noire,Dimensions: 144 x 166 x 692 mm,Poids: 8 kg,Support de montage mural disponible en option, article n°: ,Housse de protection vendue séparément, article n°: ,Conçue en Allemagne",4.7,7
Seeburg Acoustic Line L16j,            ,                208            ,    1.222,"Equipped with: 16x 3"" speakers,Rated power: 320/960 W AES / Peak,Impedance: 8 Ohm,SPL: 124 dB,Frequency range: 150 - 16000 Hz,Coverage: 80° x 17°,3x M10 / 6x M6 rigging points,Dimensions (H x W x D): 1320 x 110 x 120 mm,Weight: 9 kg,Speaker stand mounting requires Article Nr: , (not included)",,
Seeburg Acoustic Line K 20 90°,            ,                207            ,    1.975,"Configuration : 2x haut-parleurs 10"" Néodyme + tweeter 1,4"" Néodyme,Puissance nominale : 800 Watt (AES) / 2400 Watt (crête),Impédance nominale : 4 Ohm,SPL (1W / Peak @ 1 m) : 100 dB / 134 dB,Réponse en fréquence : 70 Hz - 18 kHz (-6 dB),Pavillon rotatif,Dispersion : 90° x 60°,2 x entrées / sorties Speaker Twist,2 poignées,Montage sur pied d'enceinte 35 mm,10x points de montage aérien M10,Utilisable avec MultiRigg (disponible en option, référence n° : ,),Dimensions (H x L x P) : 660 x 300 x 360 mm,Poids : 22,5 kg,Couleur : noir",,
ANT BBM 5 WP,            ,                188            ,    105,"Haut-parleur 5"",Tweeter à dôme 1"" avec  bobine néodyme,Réponse en fréquence : 100 Hz - 20 kHz,Puissance : 40 Watt RMS,Impédance : 8 Ohm,Transfo : 10 W / 20 W / 40 W / 80 W sous 70 V et 100 V,Certifié IP55 (protégé contre la poussière et les jets d'eau),Trous de fixation M5 / M6 pour supports appropriés,Dimensions (L x H x P) : 171 x 272 x 172 mm,Poids : 3 kg,Couleur : blanc",,
FBT Ventis 112,            ,                205            ,    649,"Speaker configuration: 12"" Woofer and 1"" tweeter,Power rating: 200 W,Recommended amplifier power: 400 W,Nominal impedance: 8 Ohm,Frequency range: 55 - 18,000 Hz (-6 dB),Sensitivity: 98 dB (1 W / 1 m),Maximum SPL: 129 dB,Beam angle (typical): 80° x 50° (H x V, rotatable),Crossover frequency: 1.6 kHz,Recommended high pass filter: 45 Hz - 12-24 dB/oct,Speaker-twist input and through,Dimensions (W x H x D): 387 x 665 x 380 mm,Weight: 20.1 kg,Colour: Black",,
FBT Ventis 115,            ,                204            ,    688,"Speaker configuration: 15"" Woofer and 1"" tweeter,Power rating: 250 W,Recommended amplifier power: 500 W,Nominal impedance: 8 Ohm,Frequency range: 50 - 18,000 Hz (-6 dB),Sensitivity: 99 dB (1 W / 1 m),Maximum SPL: 130 dB,Beam angle (typical): 80° x 50° (H x V, rotatable),Crossover frequency: 1.4 kHz,Recommended high pass filter: 40 Hz - 12-24 dB/oct,Speaker-twist input and through,Dimensions (W x H x D): 427 x 765 x 420 mm,Weight: 24.5 kg,Colour: Black",,
Yamaha CM-12V B-Stock,            ,                183            ,    279,,,
the box pro Achat 110 M WH,            ,                203            ,    245,"Puissance: 250 Watt RMS - 1400 Watt crête,Impédance: 8 Ohm,Réponse en fréquence: 70 - 18.000 Hz,Dispersion: 90º x 60º,Entrée et sortie Speaker Twist,Œillet pour pied d'enceinte,Attaches aériennes M10,Dimensions: 300 x 450 x 290 mm,Poids: 11 kg,Couleur: blanc,Housse de protection (noire) disponible en option, article n°: ",4.9,4
FBT HIMaxX 60 B-Stock,            ,                172            ,    739,"Haut-parleur 15"" et tweeter 1,4"",Puissance: 700 Watt sous 8 Ohm,Dispersion: 90° x 60°,Enceinte en polypropylène,Œillet pour pied de montage,Montage aérien M10 (x4),Couleur: noir,Dimensions: 482 x 757 x 427 mm,Poids: 26 kg",,
the box PA M 12 ECO MKII B-Stock,            ,                174            ,    72,"Puissance: 140 Watt RMS sous 8 Ohm,Puissance: 560 Watt crête sous 8 Ohm,Réponse en fréquence: 65 Hz - 15 kHz (±3 dB),SPL max: 113 dB,Dispersion: 90° x 90°,Entrée combo Speaker Twist/Jack,Sortie combo Speaker Twist/Jack pour enceinte additionnelle passive,Montage sur pied 36 mm,Dimensions: 361 x 500 x 365 mm,Poids: 12,5 kg,Housse optionnelle: ",4.6,50
KS audio C 12,            ,                202            ,    2.269,"Puissance admissible: 700 + 100 Watt RMS,Bobine néodyme et pavillon HDSP,Impédance: 8 Ohm,Dispersion: 60-120° x 35-5°,Dimensions: 580 x 350 x 410 mm,Poids: 25 kg,Fabriquée en Allemagne",5,1
Dynacord CXM 15,            ,                201            ,    1.949,"Haut-parleur: 15"",Tweeter 1,4"",Puissance: 450 Watt RMS / 1800 Watt crête,Impédance: 8 Ohm,SPL max: 135 dB,Embase pour pied,Dimensions: 600 x 334 x 412 mm,Poids: 19 kg",,
Dynacord TS 200W,            ,                200            ,    988,"Vertical array,Equipped with: 2x 6.5""DND 6130-16 Neodymium woofers, 1x 1"" DHT3 driver,Coverage pattern: 90° x 40°,Impedance: 8 Ω,Rated power: 300 Watt RMS,Maximum level: 128 dB,Frequency range: 90 - 20000 Hz,2x Speaker twist connections,Overload Protection for tweeter,Dimensions: 199 x 514 x 240 mm,Weight: 10 kg,Colour: White,Suitable transport bag: Article Nr: , (not included)",,
